                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.60555,                0.38995,                0.92661,                0.89482,                0.85264,                0.88013,                0.60171,                0.87215,                0.66137,                0.77557,             0.00092435,             0.00092435,             0.00092435
                     47,                0.62889,                0.38498,                0.92934,                0.88575,                0.86179,                0.86963,                0.61137,                 0.7992,                0.62675,                0.72663,             0.00090785,             0.00090785,             0.00090785
                     48,                0.59906,                 0.3746,                 0.9291,                0.90076,                0.87086,                0.87368,                0.60398,                0.77991,                0.61542,                 0.7307,             0.00089134,             0.00089134,             0.00089134
                     49,                0.62277,                0.39014,                0.93669,                0.88898,                0.86179,                0.87297,                0.60826,                0.78423,                0.63158,                 0.7198,             0.00087484,             0.00087484,             0.00087484
                     50,                0.60111,                0.36353,                0.92627,                0.90196,                0.78811,                0.87625,                0.58801,                0.86504,                0.78853,                0.78559,             0.00085834,             0.00085834,             0.00085834
                     51,                0.61476,                0.37636,                0.93922,                0.90731,                 0.8563,                0.87256,                0.62041,                0.80916,                0.59068,                 0.7345,             0.00084184,             0.00084184,             0.00084184
                     52,                0.59788,                0.36601,                0.92893,                0.88994,                0.84348,                0.86941,                0.60958,                0.84224,                0.82514,                0.74539,             0.00082533,             0.00082533,             0.00082533
                     53,                0.60519,                0.37195,                 0.9344,                 0.8808,                0.86546,                0.87131,                0.61528,                0.81108,                 0.6254,                0.74538,             0.00080883,             0.00080883,             0.00080883
                     54,                 0.5804,                0.35013,                0.93019,                0.87161,                0.85813,                0.84512,                0.59799,                0.78075,                 0.5466,                0.73884,             0.00079233,             0.00079233,             0.00079233
                     55,                0.58283,                0.34684,                0.92295,                 0.8639,                0.85149,                0.86787,                0.61173,                0.80296,                0.66101,                0.72972,             0.00077582,             0.00077582,             0.00077582
                     56,                0.55024,                 0.3412,                0.93115,                0.89542,                0.87021,                0.88067,                0.62348,                0.85676,                0.59665,                0.75105,             0.00075932,             0.00075932,             0.00075932
                     57,                0.61046,                0.35654,                0.93262,                0.89118,                0.86428,                0.86612,                 0.6223,                0.78316,                0.60617,                0.73133,             0.00074282,             0.00074282,             0.00074282
                     58,                0.58973,                0.35184,                0.91866,                0.86911,                0.86729,                0.84955,                0.61425,                 0.7572,                0.55615,                0.71743,             0.00072631,             0.00072631,             0.00072631
                     59,                0.57516,                0.34503,                0.92821,                0.89995,                0.87645,                0.87607,                0.61957,                0.78092,                 0.5298,                0.70657,             0.00070981,             0.00070981,             0.00070981
                     60,                0.58089,                0.33915,                0.93523,                0.88094,                0.88377,                0.87585,                0.61467,                0.81448,                 0.5107,                0.72902,             0.00069331,             0.00069331,             0.00069331
                     61,                0.57491,                0.33626,                0.91914,                0.88619,                0.87645,                0.87426,                0.61852,                0.76519,                0.52098,                0.71123,              0.0006768,              0.0006768,              0.0006768
                     62,                0.59283,                0.35566,                0.92847,                 0.8978,                0.86363,                0.87144,                0.62177,                0.79631,                0.52001,                 0.7221,              0.0006603,              0.0006603,              0.0006603
                     63,                0.58449,                0.35564,                0.92461,                0.89709,                0.84714,                0.86535,                0.61479,                0.77409,                0.65186,                0.71507,              0.0006438,              0.0006438,              0.0006438
                     64,                0.56995,                0.34945,                0.92538,                0.90016,                0.87828,                0.88439,                0.61825,                0.78123,                0.55946,                0.70965,             0.00062729,             0.00062729,             0.00062729
                     65,                0.57946,                0.33886,                0.92489,                 0.8912,                0.85983,                0.88365,                0.62095,                0.78128,                0.56766,                0.70913,             0.00061079,             0.00061079,             0.00061079
                     66,                0.55798,                0.33867,                0.92475,                0.87879,                0.88905,                0.88713,                0.62049,                0.78472,                0.51943,                0.70204,             0.00059429,             0.00059429,             0.00059429
                     67,                0.57405,                0.33266,                0.92015,                0.90245,                0.86331,                0.88438,                0.62812,                0.75741,                0.55894,                0.70258,             0.00057778,             0.00057778,             0.00057778
                     68,                0.57017,                 0.3371,                0.92144,                0.90224,                0.87095,                0.88833,                0.61045,                0.77235,                0.54617,                0.72143,             0.00056128,             0.00056128,             0.00056128
                     69,                0.55565,                0.32883,                0.91281,                0.90449,                0.87278,                0.88908,                0.62283,                0.76396,                0.50878,                0.69747,             0.00054478,             0.00054478,             0.00054478
                     70,                 0.5571,                0.32747,                0.91874,                0.89527,                0.85311,                 0.8752,                0.62303,                0.74869,                0.48852,                 0.7016,             0.00052827,             0.00052827,             0.00052827
                     71,                0.54332,                0.32638,                0.92498,                0.89015,                0.87071,                  0.886,                 0.6203,                0.78984,                0.49158,                0.70608,             0.00051177,             0.00051177,             0.00051177
                     72,                0.58726,                0.34249,                0.92022,                0.90189,                0.87946,                0.87652,                0.61769,                0.77215,                 0.4719,                0.70003,             0.00049527,             0.00049527,             0.00049527
                     73,                0.57059,                0.33797,                0.92483,                0.90336,                0.87278,                0.87695,                0.62019,                0.77332,                 0.5546,                0.71286,             0.00047876,             0.00047876,             0.00047876
                     74,                0.57213,                0.33292,                0.91179,                0.89915,                0.87467,                  0.878,                0.61738,                0.73765,                0.48101,                0.69016,             0.00046226,             0.00046226,             0.00046226
                     75,                0.57081,                 0.3302,                0.91556,                0.89709,                0.89598,                 0.8948,                0.62357,                0.76142,                0.49486,                0.69141,             0.00044576,             0.00044576,             0.00044576
                     76,                0.57786,                0.32582,                0.92043,                 0.9005,                0.86549,                0.88251,                0.62142,                0.78181,                0.51485,                0.69867,             0.00042925,             0.00042925,             0.00042925
                     77,                0.53778,                0.30735,                0.91894,                0.89131,                0.88927,                0.88429,                0.62071,                0.72591,                0.48793,                0.67885,             0.00041275,             0.00041275,             0.00041275
                     78,                0.57097,                0.33058,                0.92455,                0.90035,                0.89842,                0.88888,                0.61922,                0.75551,                0.49958,                0.69338,             0.00039625,             0.00039625,             0.00039625
                     79,                0.54344,                0.31563,                0.90732,                0.90024,                0.87981,                0.87337,                0.62335,                0.77408,                0.48464,                0.69483,             0.00037974,             0.00037974,             0.00037974
                     80,                 0.5473,                0.31958,                0.92822,                0.89217,                0.88744,                0.88111,                0.61961,                0.76008,                0.46043,                 0.6891,             0.00036324,             0.00036324,             0.00036324
                     81,                0.55444,                0.32657,                0.90977,                0.89236,                0.88744,                0.88478,                0.62256,                0.77909,                0.45353,                0.69009,             0.00034674,             0.00034674,             0.00034674
                     82,                0.53579,                0.30505,                0.90684,                0.89624,                 0.8854,                0.87726,                0.61918,                0.78092,                0.48356,                0.69542,             0.00033023,             0.00033023,             0.00033023
                     83,                 0.5182,                 0.3023,                0.91302,                0.90885,                0.87375,                0.89087,                0.62181,                0.76897,                0.47862,                  0.688,             0.00031373,             0.00031373,             0.00031373
                     84,                0.53352,                0.31129,                0.90932,                0.89896,                0.83799,                0.86646,                0.61604,                0.78132,                 0.5783,                0.68786,             0.00029723,             0.00029723,             0.00029723
                     85,                0.56454,                0.31796,                0.90938,                0.90139,                0.87095,                0.87672,                0.62281,                0.76408,                0.50381,                0.67396,             0.00028072,             0.00028072,             0.00028072
                     86,                0.55105,                0.31016,                0.90727,                0.89469,                0.88444,                0.87863,                0.62404,                0.75922,                 0.4789,                0.67916,             0.00026422,             0.00026422,             0.00026422
                     87,                0.54778,                0.30788,                0.91499,                0.88916,                  0.893,                0.89414,                0.62304,                0.74677,                 0.4489,                 0.6758,             0.00024772,             0.00024772,             0.00024772
                     88,                0.53375,                0.30281,                 0.9085,                 0.9076,                0.89293,                0.89067,                0.62638,                0.75338,                0.45754,                0.68346,             0.00023121,             0.00023121,             0.00023121
                     89,                0.54889,                0.31569,                0.92379,                0.89657,                0.86179,                0.87519,                0.62219,                0.75165,                0.45629,                0.68731,             0.00021471,             0.00021471,             0.00021471
                     90,                0.90181,                 0.5797,                0.87323,                0.89097,                0.87645,                0.86966,                0.61403,                0.74257,                0.45872,                0.66889,             0.00019821,             0.00019821,             0.00019821
                     91,                0.89345,                0.50026,                0.86794,                   0.89,                0.88744,                0.87223,                0.61807,                0.73638,                0.43792,                0.66229,              0.0001817,              0.0001817,              0.0001817
                     92,                0.92945,                0.52336,                0.87478,                0.88176,                0.88011,                0.87325,                 0.6255,                0.75153,                0.45475,                0.67622,              0.0001652,              0.0001652,              0.0001652
                     93,                0.92176,                0.51227,                0.85309,                0.89393,                 0.8856,                0.88362,                0.62335,                0.74914,                0.44459,                0.67803,              0.0001487,              0.0001487,              0.0001487
                     94,                0.84154,                0.45232,                0.85223,                0.89995,                0.88122,                0.87536,                0.62456,                0.73485,                0.44982,                0.67247,             0.00013219,             0.00013219,             0.00013219
                     95,                0.88037,                0.47956,                0.85958,                0.89518,                0.88221,                0.87029,                0.62262,                0.72955,                0.42825,                0.65969,             0.00011569,             0.00011569,             0.00011569
                     96,                 0.9001,                0.48854,                0.86828,                0.90319,                0.88205,                0.87993,                0.62747,                0.72517,                0.42528,                0.65728,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.86343,                 0.4836,                0.85592,                0.89908,                0.88636,                0.87987,                0.62684,                0.71196,                0.43327,                0.65565,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.81728,                0.45224,                0.86212,                0.89418,                0.88927,                0.88151,                0.62716,                0.71014,                0.43728,                0.65776,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 0.8255,                0.44128,                0.84363,                0.89331,                0.88569,                0.87792,                0.62804,                0.70737,                0.43848,                0.65914,             4.9677e-05,             4.9677e-05,             4.9677e-05
